,Last Refresh: 2024-06-13 00:19:27,
4/28/21,-1.06,
4/29/21,-0.23,
4/30/21,-0.83,
5/3/21,-0.66,
5/4/21,0.64,
5/6/21,1,
5/7/21,0.58,
5/10/21,1.63,
5/11/21,-1.23,
5/12/21,-1.49,
5/13/21,-1.25,
5/14/21,1,
5/17/21,-0.6,
5/18/21,1.23,
5/20/21,-0.34,
5/21/21,-0.19,
5/24/21,-0.38,
5/25/21,0.86,
5/26/21,-0.09,
5/27/21,-0.09,
5/28/21,0.73,
5/31/21,0.48,
6/1/21,0.56,
6/2/21,0.07,
6/3/21,0.72,
6/4/21,-0.23,
6/7/21,0.37,
6/8/21,-0.13,
6/9/21,-0.97,
6/10/21,0.26,
6/11/21,0.77,
6/14/21,0.09,
6/15/21,0.2,
6/16/21,0.62,
6/17/21,-0.42,
6/18/21,0.09,
6/21/21,-0.83,
6/22/21,0.71,
6/23/21,0.38,
6/24/21,0.3,
6/25/21,0.51,
6/28/21,-0.03,
6/29/21,-0.46,
6/30/21,0.3,
7/1/21,-0.44,
7/2/21,-0.01,
7/5/21,0.35,
7/6/21,0.36,
7/7/21,-0.6,
7/8/21,-0.99,
7/9/21,-1.07,
7/12/21,0.89,
7/13/21,0.77,
7/14/21,-0.2,
7/15/21,0.66,
7/16/21,-0.28,
7/19/21,-1,
7/20/21,-0.35,
7/21/21,-0.52,
7/22/21,1.07,
7/23/21,0.13,
7/26/21,-0.91,
7/27/21,0.24,
7/28/21,0.13,
7/29/21,0.18,
7/30/21,-1.24,
8/2/21,0.65,
8/3/21,0.44,
8/4/21,1.34,
8/5/21,-0.13,
8/6/21,-0.18,
8/9/21,-0.3,
8/10/21,-0.53,
8/11/21,-0.7,
8/12/21,-0.38,
8/13/21,-1.16,
8/17/21,-0.89,
8/18/21,0.5,
8/19/21,-1.93,
8/20/21,-1.2,
8/23/21,0.97,
8/24/21,1.56,
8/25/21,0.27,
8/26/21,-0.58,
8/27/21,0.17,
8/30/21,0.33,
8/31/21,1.75,
9/1/21,0.24,
9/2/21,-0.97,
9/3/21,0.79,
9/6/21,0.07,
9/7/21,-0.5,
9/8/21,-0.77,
9/9/21,-1.53,
9/10/21,0.36,
9/13/21,0.07,
9/14/21,0.67,
9/15/21,0.15,
9/16/21,-0.74,
9/17/21,0.33,
9/23/21,-0.41,
9/24/21,-0.07,
9/27/21,0.27,
9/28/21,-1.14,
9/29/21,-1.22,
9/30/21,0.28,
10/1/21,-1.62,
10/5/21,-1.89,
10/6/21,-1.82,
10/7/21,1.76,
10/8/21,-0.11,
10/12/21,-1.35,
10/13/21,0.96,
10/14/21,1.5,
10/15/21,0.88,
10/18/21,-0.28,
10/19/21,0.74,
10/20/21,-0.53,
10/21/21,-0.19,
10/22/21,-0.04,
10/25/21,0.48,
10/26/21,0.94,
10/27/21,-0.77,
10/28/21,-0.53,
10/29/21,-1.29,
11/1/21,0.28,
11/2/21,1.16,
11/3/21,-1.25,
11/4/21,0.25,
11/5/21,-0.47,
11/8/21,-0.31,
11/9/21,0.08,
11/10/21,-1.09,
11/11/21,-0.18,
11/12/21,1.5,
11/15/21,1.03,
11/16/21,-0.08,
11/17/21,-1.16,
11/18/21,-0.51,
11/19/21,0.8,
11/22/21,1.42,
11/23/21,-0.53,
11/24/21,-0.1,
11/25/21,-0.47,
11/26/21,-1.47,
11/29/21,-0.92,
11/30/21,-2.42,
12/1/21,2.14,
12/2/21,1.57,
12/3/21,0.78,
12/6/21,0.17,
12/7/21,0.62,
12/8/21,0.34,
12/9/21,0.93,
12/10/21,-0.64,
12/13/21,-0.28,
12/14/21,-0.46,
12/15/21,0.05,
12/16/21,0.57,
12/17/21,0.38,
12/20/21,-1.81,
12/21/21,0.41,
12/22/21,0.32,
12/23/21,0.46,
12/24/21,0.48,
12/27/21,-0.43,
12/28/21,0.69,
12/29/21,-0.89,
12/30/21,-0.52,
1/3/22,-0.48,
1/4/22,-0.31,
1/5/22,1.68,
1/6/22,0.38,
1/7/22,1.12,
1/10/22,2.63,
1/11/22,0.05,
1/12/22,0.35,
1/13/22,0.24,
1/14/22,0.89,
1/17/22,0.58,
1/18/22,-0.85,
1/19/22,-0.47,
1/20/22,0.51,
1/21/22,0.63,
1/24/22,1.39,
1/25/22,1.65,
1/26/22,0.62,
1/27/22,-1.35,
1/28/22,-1.04,
2/3/22,1.02,
2/4/22,0.78,
2/7/22,0.47,
2/8/22,-1.7,
2/9/22,0.55,
2/10/22,1.3,
2/11/22,-0.09,
2/14/22,-0.48,
2/15/22,-0.69,
2/16/22,0.53,
2/17/22,-1.53,
2/18/22,1.96,
2/21/22,-0.98,
2/22/22,0.16,
2/23/22,0.16,
2/24/22,-1.68,
2/25/22,0.89,
2/28/22,-0.63,
3/2/22,-0.87,
3/3/22,0.42,
3/4/22,0.62,
3/7/22,0.17,
3/8/22,1.26,
3/10/22,0.03,
3/11/22,-1.28,
3/14/22,-0.53,
3/15/22,-1.01,
3/16/22,0.67,
3/17/22,-2.56,
3/18/22,1.31,
3/21/22,-0.08,
3/22/22,0.75,
3/23/22,-0.69,
3/24/22,0.38,
3/25/22,1.2,
3/28/22,0.31,
3/29/22,-0.39,
3/30/22,-0.24,
3/31/22,1.07,
4/1/22,0.37,
4/4/22,0.38,
4/5/22,0.97,
4/6/22,-0.18,
4/7/22,0.33,
4/8/22,0.59,
4/11/22,-1.44,
4/12/22,1.27,
4/13/22,0.87,
4/14/22,1.42,
4/15/22,0.11,
4/18/22,0.43,
4/19/22,0.38,
4/20/22,0.17,
4/21/22,-0.19,
4/22/22,0.16,
4/25/22,-0.46,
4/26/22,-0.73,
4/27/22,-0.82,
4/28/22,-1.37,
4/29/22,-0.17,
5/2/22,0.44,
5/3/22,0.23,
5/4/22,0.91,
5/6/22,-0.91,
5/9/22,-0.02,
5/10/22,0.49,
5/11/22,-0.13,
5/12/22,-0.54,
5/13/22,-0.22,
5/16/22,-0.63,
5/17/22,0.16,
5/18/22,0.04,
5/19/22,0.58,
5/20/22,0.83,
5/23/22,0.89,
5/24/22,0.76,
5/25/22,0.41,
5/26/22,0,
5/27/22,-0.5,
5/30/22,0.16,
5/31/22,1.04,
6/2/22,-0.32,
6/3/22,-0.31,
6/7/22,1.25,
6/8/22,0.54,
6/9/22,0.01,
6/10/22,-0.18,
6/13/22,1.16,
6/14/22,-0.45,
6/15/22,0.33,
6/16/22,-0.72,
6/17/22,-0.4,
6/20/22,0.66,
6/21/22,-0.62,
6/22/22,-0.18,
6/23/22,-0.86,
6/24/22,0.43,
6/27/22,-0.91,
6/28/22,0.47,
6/29/22,-0.03,
6/30/22,-0.67,
7/1/22,-0.55,
7/4/22,0.56,
7/5/22,1.49,
7/6/22,-0.35,
7/7/22,-0.55,
7/8/22,-0.88,
7/11/22,-1.16,
7/12/22,-0.24,
7/13/22,1.66,
7/14/22,0.48,
7/15/22,0.64,
7/18/22,1.43,
7/19/22,-0.35,
7/20/22,-0.43,
7/21/22,0.02,
7/22/22,-0.31,
7/25/22,0.37,
7/26/22,0.72,
7/27/22,0.3,
7/28/22,-1.67,
7/29/22,0.44,
8/1/22,0.17,
8/2/22,0.93,
8/3/22,1.31,
8/4/22,-1.9,
8/5/22,-0.42,
8/8/22,-0.1,
8/9/22,-0.85,
8/10/22,-0.26,
8/11/22,1.21,
8/12/22,-0.14,
8/16/22,-0.4,
8/17/22,-0.79,
8/18/22,-1.76,
8/19/22,-0.23,
8/22/22,-0.61,
8/23/22,0.17,
8/24/22,0.28,
8/25/22,-0.41,
8/26/22,1.28,
8/29/22,-0.73,
8/30/22,0.96,
8/31/22,0.34,
9/1/22,0.35,
9/2/22,-0.19,
9/5/22,0.29,
9/6/22,0.81,
9/7/22,-0.09,
9/8/22,-0.73,
9/13/22,-0.59,
9/14/22,-0.02,
9/15/22,0.36,
9/16/22,-0.79,
9/19/22,-0.07,
9/20/22,1.51,
9/21/22,1.1,
9/22/22,-1.02,
9/23/22,-0.6,
9/26/22,0.02,
9/27/22,-1.75,
9/28/22,-0.27,
9/29/22,-0.49,
9/30/22,-1.31,
10/4/22,0.09,
10/5/22,-2.41,
10/6/22,-0.09,
10/7/22,0.21,
10/11/22,-0.26,
10/12/22,1.98,
10/13/22,1.21,
10/14/22,-0.95,
10/17/22,-0.81,
10/18/22,0.98,
10/19/22,0.1,
10/20/22,-1.9,
10/21/22,-1.69,
10/24/22,-0.76,
10/25/22,1.12,
10/26/22,-0.85,
10/27/22,-2.71,
10/28/22,0.16,
10/31/22,0.34,
11/1/22,-1.41,
11/2/22,1.03,
11/3/22,1.81,
11/4/22,1.08,
11/7/22,5.66,
11/8/22,-2.33,
11/9/22,-0.91,
11/10/22,0.23,
11/11/22,-0.72,
11/14/22,-0.24,
11/15/22,1.23,
11/16/22,2.2,
11/17/22,0.06,
11/18/22,-0.74,
11/21/22,0.86,
11/22/22,0.77,
11/23/22,0.05,
11/24/22,0.13,
11/25/22,-0.73,
11/28/22,-0.04,
11/29/22,1.05,
11/30/22,-0.08,
12/1/22,0.61,
12/2/22,-1.19,
12/5/22,0.4,
12/6/22,-0.82,
12/7/22,0.04,
12/8/22,-0.13,
12/9/22,1.03,
12/12/22,0.3,
12/13/22,0.39,
12/14/22,-0.97,
12/15/22,1.34,
12/16/22,0.76,
12/19/22,0.13,
12/20/22,0.07,
12/21/22,1.78,
12/22/22,-0.55,
12/23/22,-0.02,
12/26/22,0.12,
12/27/22,0.42,
12/28/22,1.6,
12/29/22,0.55,
1/2/23,-2.34,
1/3/23,-0.78,
1/4/23,-0.35,
1/5/23,-0.4,
1/6/23,-0.26,
1/9/23,-0.75,
1/10/23,-0.07,
1/11/23,-0.6,
1/12/23,0.04,
1/13/23,-1.12,
1/16/23,-2.47,
1/17/23,0.17,
1/18/23,1.34,
1/19/23,-0.34,
1/20/23,0.58,
1/25/23,-0.36,
1/26/23,0.03,
1/27/23,0.33,
1/30/23,0.89,
1/31/23,-0.07,
2/1/23,-0.07,
2/2/23,1.82,
2/3/23,2.87,
2/6/23,-0.92,
2/7/23,-0.58,
2/8/23,1.3,
2/9/23,0.41,
2/10/23,1.12,
2/13/23,-1.1,
2/14/23,-0.25,
2/15/23,1.34,
2/16/23,1.19,
2/17/23,-0.84,
2/20/23,-0.17,
2/21/23,0.41,
2/22/23,0.13,
2/23/23,-0.77,
2/24/23,-0.83,
2/27/23,1.04,
2/28/23,-0.37,
3/2/23,1.21,
3/3/23,-0.93,
3/6/23,-0.3,
3/7/23,0.23,
3/8/23,1.24,
3/9/23,-0.77,
3/10/23,0.83,
3/13/23,0.44,
3/14/23,0.94,
3/15/23,-1.91,
3/16/23,0.71,
3/17/23,-1.1,
3/20/23,1.28,
3/21/23,2.41,
3/22/23,-0.23,
3/23/23,-0.4,
3/24/23,0.71,
3/27/23,-0.07,
3/28/23,-0.34,
3/29/23,0.03,
3/30/23,0.04,
3/31/23,0.19,
4/3/23,-1.68,
4/4/23,1.29,
4/5/23,-1.01,
4/6/23,0.13,
4/7/23,-0.46,
4/10/23,0.07,
4/11/23,-0.93,
4/12/23,-0.42,
4/13/23,-2.28,
4/14/23,-0.98,
4/17/23,1.95,
4/18/23,-1.63,
4/19/23,1.45,
4/20/23,-0.24,
4/21/23,2.01,
4/24/23,-1.76,
4/25/23,1.05,
4/26/23,1.17,
4/27/23,0.17,
4/28/23,-0.31,
5/2/23,-0.26,
5/3/23,2.16,
5/4/23,0.39,
5/8/23,-1.2,
5/9/23,0.57,
5/10/23,-0.02,
5/11/23,0.11,
5/12/23,0.83,
5/15/23,-1.03,
5/16/23,0.64,
5/17/23,-0.65,
5/18/23,-0.03,
5/19/23,-0.06,
5/22/23,-1.26,
5/23/23,1.32,
5/24/23,-0.01,
5/25/23,-1.67,
5/26/23,-1.56,
5/30/23,0.04,
